level_0,index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
3895248,4348604,6918,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,4.0,estimated,Morristown Line,NJ Transit,2018-04-21,11:39:00,2018-04-21,11:43:00,Sat
3895416,4348777,6916,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,7.0,estimated,Morristown Line,NJ Transit,2018-04-21,10:39:00,2018-04-21,10:46:00,Sat
3895910,4349357,6934,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-21,19:39:00,2018-04-21,19:38:00,Sat
3896340,4349821,6932,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-21,18:39:00,2018-04-21,18:38:00,Sat
3896782,4350275,6914,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,3.0,estimated,Morristown Line,NJ Transit,2018-04-21,09:39:00,2018-04-21,09:42:00,Sat
3896856,4350355,6922,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-21,13:39:00,2018-04-21,13:39:00,Sat
3897050,4350549,6940,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-21,22:39:00,2018-04-21,22:38:00,Sat
3897266,4350765,6924,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,4.0,estimated,Morristown Line,NJ Transit,2018-04-21,14:39:00,2018-04-21,14:43:00,Sat
3897421,4350920,6912,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,19.0,estimated,Morristown Line,NJ Transit,2018-04-21,08:39:00,2018-04-21,08:58:00,Sat
3898533,4352127,6930,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-21,17:41:00,2018-04-21,17:40:00,Sat
3898687,4352292,6908,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,14.0,estimated,Morristown Line,NJ Transit,2018-04-21,06:45:00,2018-04-21,06:59:00,Sat
3899103,4352750,6938,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-21,21:39:00,2018-04-21,21:38:00,Sat
3899202,4352860,6936,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-21,20:40:00,2018-04-21,20:39:00,Sat
3899634,4353325,6938,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-22,21:39:00,2018-04-22,21:38:00,Sun
3899709,4353417,6936,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-22,20:40:00,2018-04-22,20:39:00,Sun
3900018,4353754,6930,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-22,17:41:00,2018-04-22,17:41:00,Sun
3900098,4353837,6908,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-22,06:45:00,2018-04-22,06:45:00,Sun
3900811,4354675,6924,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0,estimated,Morristown Line,NJ Transit,2018-04-22,14:39:00,2018-04-22,14:40:00,Sun
3900986,4354877,6912,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-22,08:39:00,2018-04-22,08:38:00,Sun
3901409,4355309,6914,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-22,09:39:00,2018-04-22,09:38:00,Sun
3901474,4355397,6922,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-22,13:39:00,2018-04-22,13:38:00,Sun
3901669,4355596,6940,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-22,22:39:00,2018-04-22,22:38:00,Sun
3901867,4355823,6932,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-22,18:39:00,2018-04-22,18:38:00,Sun
3902214,4356202,6934,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-22,19:39:00,2018-04-22,19:38:00,Sun
3902987,4357070,6942,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0,estimated,Morristown Line,NJ Transit,2018-04-22,23:39:00,2018-04-22,23:40:00,Sun
3903267,4357361,6920,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0,estimated,Morristown Line,NJ Transit,2018-04-22,12:40:00,2018-04-22,12:41:00,Sun
3903336,4357448,6918,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-22,11:39:00,2018-04-22,11:38:00,Sun
3903449,4357573,6916,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-22,10:39:00,2018-04-22,10:38:00,Sun
3903784,4357912,6928,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-22,16:39:00,2018-04-22,16:38:00,Sun
3903875,4358017,6910,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-22,07:39:00,2018-04-22,07:38:00,Sun
3903962,4358104,6926,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-22,15:39:00,2018-04-22,15:38:00,Sun
3904121,4358273,6674,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-23,21:56:00,2018-04-23,21:55:00,Mon
3904233,4358397,6620,10.0,South Orange,140.0,New York Penn Station,105.0,21.0,estimated,Morristown Line,NJ Transit,2018-04-23,08:55:00,2018-04-23,09:16:00,Mon
3904431,4358626,6616,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,2.0,estimated,Morristown Line,NJ Transit,2018-04-23,08:26:00,2018-04-23,08:28:00,Mon
3904501,4358700,6672,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-23,21:23:00,2018-04-23,21:22:00,Mon
3904532,4358731,6644,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-23,14:27:00,2018-04-23,14:26:00,Mon
3904624,4358823,6628,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,49.0,estimated,Morristown Line,NJ Transit,2018-04-23,10:25:00,2018-04-23,11:14:00,Mon
3904719,4358918,6610,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,1.0,estimated,Morristown Line,NJ Transit,2018-04-23,07:18:00,2018-04-23,07:19:00,Mon
3906829,4361121,6314,5.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-23,08:01:00,2018-04-23,08:00:00,Mon
3907559,4361914,6324,7.0,Newark Broad Street,106.0,New York Penn Station,105.0,56.0,estimated,Morristown Line,NJ Transit,2018-04-23,09:42:00,2018-04-23,10:38:00,Mon
