index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
2209024,6230,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0000000000000002,estimated,Montclair-Boonton,NJ Transit,2019-05-08,12:44:00,2019-05-08,12:45:00,Wed
2209264,6206,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-08,07:40:00,2019-05-08,07:39:00,Wed
2209362,6252,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-08,17:57:00,2019-05-08,17:56:00,Wed
2209667,6264,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-08,20:16:00,2019-05-08,20:15:00,Wed
2212406,6248,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-08,17:10:00,2019-05-08,17:09:00,Wed
2212419,6270,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-08,21:00:00,2019-05-08,20:59:00,Wed
2212942,6278,11.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,3.0,estimated,Montclair-Boonton,NJ Transit,2019-05-08,23:16:00,2019-05-08,23:19:00,Wed
2213089,6214,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,3.0,estimated,Montclair-Boonton,NJ Transit,2019-05-08,08:59:00,2019-05-08,09:02:00,Wed
2213164,6222,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0000000000000004,estimated,Montclair-Boonton,NJ Transit,2019-05-08,10:56:00,2019-05-08,10:58:00,Wed
2213593,6204,12.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-08,06:46:00,2019-05-08,06:45:00,Wed
2213913,6258,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-08,19:03:00,2019-05-08,18:59:00,Wed
2214151,6234,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-08,13:42:00,2019-05-08,13:41:00,Wed
2214299,6202,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-08,06:04:00,2019-05-08,06:03:00,Wed
2216887,6216,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-08,09:50:00,2019-05-08,09:49:00,Wed
2216931,6242,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-08,15:48:00,2019-05-08,15:47:00,Wed
2217181,6280,11.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,5.0,estimated,Montclair-Boonton,NJ Transit,2019-05-09,00:04:00,2019-05-09,00:09:00,Thu
2217246,6274,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-08,22:05:00,2019-05-08,22:04:00,Wed
2217315,6210,11.0,Watsessing Avenue,154.0,New York Penn Station,105.0,6.0,estimated,Montclair-Boonton,NJ Transit,2019-05-08,08:20:00,2019-05-08,08:26:00,Wed
2217375,6226,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-08,11:52:00,2019-05-08,11:51:00,Wed
2218962,6264,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-09,20:16:00,2019-05-09,20:16:00,Thu
2219269,6252,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,1.0000000000000002,estimated,Montclair-Boonton,NJ Transit,2019-05-09,17:57:00,2019-05-09,17:58:00,Thu
2219393,6206,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-09,07:40:00,2019-05-09,07:39:00,Thu
2219495,6230,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-09,12:44:00,2019-05-09,12:43:00,Thu
2220058,6200,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-09,05:32:00,2019-05-09,05:31:00,Thu
2220115,6238,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-09,14:49:00,2019-05-09,14:48:00,Thu
2220255,6222,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0000000000000002,estimated,Montclair-Boonton,NJ Transit,2019-05-09,10:56:00,2019-05-09,10:57:00,Thu
2220267,6214,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,6.0,estimated,Montclair-Boonton,NJ Transit,2019-05-09,08:59:00,2019-05-09,09:05:00,Thu
2220422,6278,11.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-09,23:16:00,2019-05-09,23:15:00,Thu
2220856,6270,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-09,21:00:00,2019-05-09,20:59:00,Thu
